[omfg][info][1774647333267] search adaptive blended frame present=2100; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647335215] vkQueuePresentKHR frame=2160; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647335266] search adaptive blended frame present=2160; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647337216] vkQueuePresentKHR frame=2220; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647337267] search adaptive blended frame present=2220; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647339216] vkQueuePresentKHR frame=2280; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647339266] search adaptive blended frame present=2280; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647341216] vkQueuePresentKHR frame=2340; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647341266] search adaptive blended frame present=2340; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647343215] vkQueuePresentKHR frame=2400; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647343267] search adaptive blended frame present=2400; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647345216] vkQueuePresentKHR frame=2460; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647345267] search adaptive blended frame present=2460; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647347216] vkQueuePresentKHR frame=2520; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647347266] search adaptive blended frame present=2520; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647349216] vkQueuePresentKHR frame=2580; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647349267] search adaptive blended frame present=2580; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647351215] vkQueuePresentKHR frame=2640; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647351266] search adaptive blended frame present=2640; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647353216] vkQueuePresentKHR frame=2700; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647353267] search adaptive blended frame present=2700; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647355216] vkQueuePresentKHR frame=2760; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647355267] search adaptive blended frame present=2760; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647357216] vkQueuePresentKHR frame=2820; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647357267] search adaptive blended frame present=2820; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647359216] vkQueuePresentKHR frame=2880; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647359267] search adaptive blended frame present=2880; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647361216] vkQueuePresentKHR frame=2940; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647361266] search adaptive blended frame present=2940; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647363216] vkQueuePresentKHR frame=3000; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647363267] search adaptive blended frame present=3000; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647365216] vkQueuePresentKHR frame=3060; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647365267] search adaptive blended frame present=3060; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647367216] vkQueuePresentKHR frame=3120; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647367271] search adaptive blended frame present=3120; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647369216] vkQueuePresentKHR frame=3180; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647369271] search adaptive blended frame present=3180; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647371216] vkQueuePresentKHR frame=3240; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647371266] search adaptive blended frame present=3240; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647373216] vkQueuePresentKHR frame=3300; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647373270] search adaptive blended frame present=3300; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
[omfg][info][1774647375216] vkQueuePresentKHR frame=3360; queueFamily=0; imageIndex=3; waitSemaphores=1
[omfg][info][1774647375270] search adaptive blended frame present=3360; generatedImageIndex=4; currentImageIndex=0; originalFirst=0
